Date,Open,High,Low,Close,Volume
02/08/2018,"$16.45","$16.55","$15.76","$15.83","4,286,733"
02/07/2018,"$16.16","$16.67","$16.15","$16.47","4,413,542"
02/06/2018,"$15.36","$16.38","$15.10","$16.14","4,962,204"
02/05/2018,"$16.14","$16.22","$15.64","$15.65","4,131,075"
02/02/2018,"$16.56","$16.66","$16.22","$16.23","3,253,530"
02/01/2018,"$16.70","$17.01","$16.57","$16.66","2,937,099"
01/31/2018,"$17.14","$17.27","$16.70","$16.81","2,749,181"
01/30/2018,"$17.08","$17.22","$16.86","$17.07","1,886,009"
01/29/2018,"$17.05","$17.20","$16.80","$17.15","3,154,733"
01/26/2018,"$16.86","$17.09","$16.61","$17.06","3,348,804"
01/25/2018,"$16.98","$17.04","$16.61","$16.84","2,701,754"
01/24/2018,"$17.40","$17.45","$16.73","$16.98","4,073,851"
01/23/2018,"$17.52","$17.57","$17.17","$17.40","3,628,462"
01/22/2018,"$18.22","$18.27","$17.47","$17.55","5,234,754"
01/19/2018,"$17.89","$18.18","$17.75","$18.13","3,193,955"
01/18/2018,"$17.47","$17.93","$17.21","$17.86","4,265,733"
01/17/2018,"$17.24","$17.71","$17.17","$17.50","4,259,664"
01/16/2018,"$18.00","$18.28","$17.04","$17.16","7,852,460"
01/12/2018,"$18.50","$18.54","$17.63","$17.76","15,445,840"
01/11/2018,"$19.92","$20.31","$19.77","$19.96","4,213,078"
01/10/2018,"$19.39","$19.92","$19.33","$19.68","4,012,799"
01/09/2018,"$19.31","$19.75","$19.31","$19.55","3,662,616"
01/08/2018,"$18.80","$19.40","$18.80","$19.23","3,668,401"
01/05/2018,"$18.38","$18.73","$18.22","$18.68","3,018,989"
01/04/2018,"$18.20","$18.38","$17.96","$18.32","2,781,341"
01/03/2018,"$18.29","$18.37","$17.92","$18.20","3,789,189"
01/02/2018,"$17.96","$18.29","$17.78","$18.26","2,832,725"
12/29/2017,"$18.23","$18.33","$17.94","$17.95","2,063,879"
12/28/2017,"$18.27","$18.28","$18.02","$18.17","1,939,399"
12/27/2017,"$18.51","$18.57","$18.20","$18.25","1,837,971"
12/26/2017,"$18.29","$19.18","$18.27","$18.51","3,234,232"
12/22/2017,"$18.45","$18.53","$18.25","$18.29","2,085,636"
12/21/2017,"$18.29","$18.47","$18.01","$18.45","2,862,137"
12/20/2017,"$18.53","$18.63","$18.21","$18.25","2,304,495"
12/19/2017,"$18.70","$18.80","$18.37","$18.39","2,254,297"
12/18/2017,"$18.45","$18.75","$18.40","$18.66","3,206,538"
12/15/2017,"$18.44","$18.58","$18.17","$18.34","3,875,195"
12/14/2017,"$18.81","$18.93","$18.34","$18.38","2,818,700"
12/13/2017,"$19.10","$19.16","$18.61","$18.67","3,086,572"
12/12/2017,"$19.15","$19.30","$18.96","$19.11","2,533,692"
12/11/2017,"$19.28","$19.36","$18.67","$19.07","3,652,774"
12/08/2017,"$18.67","$19.38","$18.67","$19.20","3,142,063"
12/07/2017,"$18.99","$19.15","$18.61","$18.63","3,277,599"
12/06/2017,"$19.27","$19.35","$18.93","$19.01","2,430,336"
12/05/2017,"$19.53","$19.65","$18.95","$19.27","3,080,952"
12/04/2017,"$19.04","$19.86","$18.99","$19.40","4,361,321"
12/01/2017,"$18.73","$19.16","$18.48","$18.77","3,831,903"
11/30/2017,"$19.22","$19.34","$18.70","$18.75","5,024,726"
11/29/2017,"$19.09","$19.69","$19.06","$19.52","6,477,336"
11/28/2017,"$18.17","$19.06","$18.17","$19.02","5,883,418"
11/27/2017,"$17.59","$18.19","$17.59","$18.17","5,846,807"
11/24/2017,"$17.43","$18.18","$17.35","$17.42","6,474,343"
11/22/2017,"$17.85","$18.70","$17.30","$17.37","20,142,369"
11/21/2017,"$16.50","$16.79","$16.26","$16.73","9,352,430"
11/20/2017,"$16.40","$16.46","$16.03","$16.44","3,796,717"
11/17/2017,"$16.31","$16.58","$16.15","$16.31","3,194,450"
11/16/2017,"$16.01","$16.79","$16.01","$16.18","4,855,584"
11/15/2017,"$16.08","$16.50","$15.85","$16.00","3,821,473"
11/14/2017,"$16.10","$16.38","$15.85","$16.19","3,517,783"
11/13/2017,"$16.43","$16.84","$15.91","$16.20","4,374,733"
11/10/2017,"$17.42","$17.42","$16.22","$16.43","5,787,445"
11/09/2017,"$17.14","$17.99","$17.11","$17.56","2,862,869"
11/08/2017,"$17.17","$17.29","$16.98","$17.20","2,230,412"
11/07/2017,"$17.88","$17.99","$17.07","$17.11","2,844,410"
11/06/2017,"$18.07","$18.21","$17.71","$17.83","3,048,994"
11/03/2017,"$18.50","$18.55","$18.10","$18.10","2,020,382"
11/02/2017,"$18.60","$18.60","$18.22","$18.51","2,904,634"
11/01/2017,"$18.67","$18.95","$18.53","$18.60","2,488,724"
10/31/2017,"$18.89","$19.04","$18.59","$18.69","2,193,862"
10/30/2017,"$19.43","$19.47","$18.60","$18.77","2,252,012"
10/27/2017,"$19.40","$19.45","$18.92","$19.34","2,230,201"
10/26/2017,"$19.55","$19.74","$19.27","$19.51","2,142,195"
10/25/2017,"$19.96","$20.00","$19.34","$19.61","2,578,392"
10/24/2017,"$20.42","$20.48","$19.94","$19.96","1,701,195"
10/23/2017,"$20.14","$20.55","$20.14","$20.28","1,703,567"
10/20/2017,"$20.13","$20.32","$20.04","$20.13","1,690,249"
10/19/2017,"$20.01","$20.15","$19.93","$20.05","1,271,642"
10/18/2017,"$19.72","$20.09","$19.62","$20.05","1,912,207"
10/17/2017,"$19.46","$19.70","$19.35","$19.66","1,251,096"
10/16/2017,"$19.69","$19.70","$19.20","$19.41","1,514,720"
10/13/2017,"$19.64","$19.78","$19.51","$19.71","1,092,949"
10/12/2017,"$19.59","$19.69","$19.32","$19.50","1,775,775"
10/11/2017,"$20.22","$20.22","$19.46","$19.59","2,308,979"
10/10/2017,"$20.19","$20.29","$19.95","$20.23","1,763,284"
10/09/2017,"$20.07","$20.25","$19.99","$20.15","1,800,070"
10/06/2017,"$20.41","$20.49","$20.02","$20.02","1,651,820"
10/05/2017,"$20.30","$20.53","$20.22","$20.52","1,146,079"
10/04/2017,"$20.09","$20.29","$20.03","$20.25","1,183,801"
10/03/2017,"$20.50","$20.51","$20.09","$20.21","1,390,288"
10/02/2017,"$20.65","$20.68","$20.35","$20.47","1,559,682"
09/29/2017,"$20.80","$20.85","$20.52","$20.66","1,565,742"
09/28/2017,"$20.81","$20.93","$20.61","$20.79","1,720,933"
09/27/2017,"$20.78","$20.97","$20.50","$20.85","2,048,377"
09/26/2017,"$20.55","$20.77","$20.34","$20.65","2,130,366"
09/25/2017,"$20.03","$20.47","$20.01","$20.44","1,158,772"
09/22/2017,"$19.87","$20.04","$19.86","$20.01","1,001,075"
09/21/2017,"$20.00","$20.19","$19.87","$19.89","1,415,746"
09/20/2017,"$20.13","$20.19","$20.01","$20.10","1,215,048"
09/19/2017,"$20.17","$20.26","$19.92","$20.19","1,360,576"
09/18/2017,"$20.39","$20.63","$20.10","$20.17","2,095,870"
09/15/2017,"$20.07","$20.44","$20.00","$20.29","2,505,369"
09/14/2017,"$20.06","$20.30","$19.89","$20.08","1,922,029"
09/13/2017,"$19.60","$20.04","$19.55","$20.02","1,755,857"
09/12/2017,"$19.26","$19.94","$19.21","$19.53","3,347,576"
09/11/2017,"$19.21","$19.45","$19.13","$19.20","2,204,642"
09/08/2017,"$18.85","$19.19","$18.74","$19.15","2,219,187"
09/07/2017,"$19.02","$19.34","$18.81","$18.85","2,803,012"
09/06/2017,"$19.00","$19.35","$18.99","$19.34","2,920,817"
09/05/2017,"$18.69","$18.96","$18.56","$18.94","2,653,808"
09/01/2017,"$18.60","$18.88","$18.60","$18.67","2,344,644"
08/31/2017,"$18.83","$18.87","$18.47","$18.50","2,629,557"
08/30/2017,"$18.75","$18.97","$18.68","$18.79","2,210,091"
08/29/2017,"$18.93","$19.07","$18.64","$18.75","4,667,734"
08/28/2017,"$19.41","$19.70","$18.96","$19.15","5,228,406"
08/25/2017,"$19.90","$19.94","$18.72","$19.40","20,500,740"
08/24/2017,"$21.75","$22.12","$21.65","$21.78","4,234,579"
08/23/2017,"$21.59","$21.82","$21.21","$21.48","2,432,919"
08/22/2017,"$21.12","$21.69","$21.09","$21.64","2,473,788"
08/21/2017,"$21.16","$21.36","$20.97","$20.98","1,633,567"
08/18/2017,"$21.05","$21.33","$20.97","$21.22","2,123,458"
08/17/2017,"$21.37","$21.66","$21.00","$21.10","1,939,606"
08/16/2017,"$21.12","$21.49","$21.08","$21.39","2,439,421"
08/15/2017,"$21.70","$21.77","$20.78","$20.93","3,888,376"
08/14/2017,"$21.95","$21.99","$21.72","$21.85","1,533,910"
08/11/2017,"$21.24","$21.83","$21.07","$21.76","1,619,257"
08/10/2017,"$21.91","$21.91","$21.46","$21.47","1,521,280"
08/09/2017,"$21.75","$22.12","$21.62","$22.08","1,503,481"
08/08/2017,"$22.20","$22.37","$21.90","$21.94","1,423,239"
08/07/2017,"$21.94","$22.26","$21.83","$22.17","1,277,593"
08/04/2017,"$21.78","$22.11","$21.69","$21.93","1,136,854"
08/03/2017,"$21.32","$21.82","$21.32","$21.66","1,048,342"
08/02/2017,"$21.32","$21.62","$21.27","$21.38","1,116,064"
08/01/2017,"$21.69","$21.69","$21.14","$21.36","3,059,532"
07/31/2017,"$21.55","$21.76","$21.41","$21.69","1,371,586"
07/28/2017,"$21.64","$21.73","$21.40","$21.50","1,234,656"
07/27/2017,"$21.09","$21.76","$21.03","$21.70","3,838,416"
07/26/2017,"$21.28","$21.33","$20.95","$21.04","1,770,346"
07/25/2017,"$20.99","$21.37","$20.94","$21.26","2,105,475"
07/24/2017,"$20.70","$21.00","$20.65","$20.80","1,584,317"
07/21/2017,"$21.14","$21.18","$20.72","$20.78","3,575,892"
07/20/2017,"$21.30","$21.34","$21.10","$21.10","1,855,723"
07/19/2017,"$21.15","$21.47","$21.06","$21.35","972,904"
07/18/2017,"$21.38","$21.39","$20.98","$21.09","1,103,197"
07/17/2017,"$21.03","$21.58","$20.98","$21.28","1,729,257"
07/14/2017,"$21.25","$21.32","$20.97","$21.02","1,229,865"
07/13/2017,"$21.24","$21.43","$21.04","$21.16","1,749,437"
07/12/2017,"$21.15","$21.26","$20.98","$20.99","1,087,515"
07/11/2017,"$20.96","$21.07","$20.81","$20.96","1,167,655"
07/10/2017,"$20.89","$21.02","$20.79","$20.89","1,646,530"
07/07/2017,"$21.15","$21.28","$20.86","$20.91","1,855,929"
07/06/2017,"$21.37","$21.54","$21.07","$21.12","1,508,569"
07/05/2017,"$21.56","$21.71","$21.38","$21.51","2,684,170"
07/03/2017,"$21.77","$22.00","$21.56","$21.60","1,409,388"
06/30/2017,"$21.75","$21.80","$21.39","$21.61","1,151,129"
06/29/2017,"$21.56","$21.78","$21.28","$21.61","1,733,203"
06/28/2017,"$21.50","$21.76","$21.43","$21.51","3,161,437"
06/27/2017,"$21.07","$21.50","$21.04","$21.38","1,747,609"
06/26/2017,"$20.67","$21.17","$20.66","$21.13","2,307,172"
06/23/2017,"$20.47","$20.66","$20.26","$20.65","1,747,801"
06/22/2017,"$20.49","$20.79","$20.44","$20.54","4,211,442"
06/21/2017,"$20.66","$20.95","$20.29","$20.46","2,194,204"
06/20/2017,"$20.72","$20.78","$20.47","$20.64","1,796,184"
06/19/2017,"$20.65","$20.97","$20.35","$20.80","2,133,708"
06/16/2017,"$21.12","$21.17","$20.50","$20.59","3,682,994"
