,ds,y,yhat
0,2020-10-12 09:15:00,3318.55275,3318.5527500000003
1,2020-10-12 09:30:00,3318.7036875,3318.7036875
2,2020-10-12 09:45:00,3318.854625,3318.854625
3,2020-10-12 10:00:00,3319.0049062499997,3319.0050156258962
4,2020-10-12 10:15:00,3319.152822916666,3319.1527795138672
5,2020-10-12 10:30:00,3319.314690972222,3319.3146909722227
6,2020-10-12 10:45:00,3319.497954861111,3319.497954861111
7,2020-10-12 11:00:00,3319.7176215277777,3319.7170381970036
8,2020-10-12 11:15:00,3319.9808159722224,3319.9802951432134
9,2020-10-12 11:30:00,3320.250670138889,3320.250739583334
10,2020-10-12 11:45:00,3320.5214791666663,3320.5215347151848
11,2020-10-12 12:00:00,3320.8073472222222,3320.807621530944
12,2020-10-12 12:15:00,3321.0995451388885,3321.0994409740397
13,2020-10-12 12:30:00,3321.4172256944444,3321.417086806422
14,2020-10-12 12:45:00,3321.769227013889,3321.7699103823848
15,2020-10-12 13:00:00,3322.1092330555553,3322.109057706285
16,2020-10-12 13:15:00,3322.4575577777778,3322.4583806884502
17,2020-10-12 13:30:00,3322.7730074652773,3322.777023958126
18,2020-10-12 13:45:00,3323.1535904513885,3323.1556134568345
19,2020-10-12 14:00:00,3323.5563712152775,3323.5568052423705
20,2020-10-12 14:15:00,3324.030675451389,3324.0309167700393
21,2020-10-12 14:30:00,3324.5389912152777,3324.53832802617
22,2020-10-12 14:45:00,3325.056147847222,3325.055373540419
23,2020-10-12 15:00:00,3325.632344583333,3325.6320326742934
24,2020-10-12 15:15:00,3326.2845465624996,3326.2829446384126
25,2020-10-12 15:30:00,3327.025916284722,3327.026412807265
26,2020-10-12 15:45:00,3327.7961176041663,3327.797550773996
27,2020-10-12 16:00:00,3328.5102959375,3328.510827274447
28,2020-10-13 09:15:00,3381.661841423611,3381.659827511948
29,2020-10-13 09:30:00,3382.4711330902774,3382.4711330902783
30,2020-10-13 09:45:00,3383.277126145833,3383.277126145833
31,2020-10-13 10:00:00,3384.079556701389,3384.0795567013874
32,2020-10-13 10:15:00,3384.8986539236107,3384.898653923611
33,2020-10-13 10:30:00,3385.7424039236107,3385.7424039236107
34,2020-10-13 10:45:00,3386.584799756944,3386.5861539236103
35,2020-10-13 11:00:00,3387.387820590278,3387.387820590277
36,2020-10-13 11:15:00,3388.1872372569437,3388.186598367435
37,2020-10-13 11:30:00,3389.014931701389,3389.015160868617
38,2020-10-13 11:45:00,3389.8306053124998,3389.831508088552
39,2020-10-13 12:00:00,3390.615126145833,3390.616051493205
40,2020-10-13 12:15:00,3391.3853465624993,3391.384999333447
41,2020-10-13 12:30:00,3392.1792701736103,3392.1793882291668
42,2020-10-13 12:45:00,3392.9742022222217,3392.9756630535753
43,2020-10-13 13:00:00,3393.698844861111,3393.6999906943533
44,2020-10-13 13:15:00,3394.383128958333,3394.3822435416673
45,2020-10-13 13:30:00,3395.104243541666,3395.1057001369013
46,2020-10-13 13:45:00,3395.678919444444,3395.6805797778215
47,2020-10-13 14:00:00,3396.2990788194443,3396.2948384735855
48,2020-10-13 14:15:00,3396.9270653124995,3396.926383005801
49,2020-10-13 14:30:00,3397.638611944444,3397.6396362552227
50,2020-10-13 14:45:00,3398.331413958333,3398.3322039275436
51,2020-10-13 15:00:00,3399.078005972222,3399.0777767907553
52,2020-10-13 15:15:00,3399.828041215277,3399.8280027527453
53,2020-10-13 15:30:00,3400.5836796874996,3400.583433158477
54,2020-10-13 15:45:00,3401.3814047916662,3401.3829308277573
55,2020-10-13 16:00:00,3402.160477118055,3402.15979655615
56,2020-10-14 09:15:00,3446.4463082291663,3446.4463082291672
57,2020-10-14 09:30:00,3447.1387735069443,3447.138773506944
58,2020-10-14 09:45:00,3447.813877673611,3447.8138776736114
59,2020-10-14 10:00:00,3448.489638090278,3448.489528715366
60,2020-10-14 10:15:00,3449.1469575347223,3449.1470009374716
61,2020-10-14 10:30:00,3449.7755304513894,3449.777138087041
62,2020-10-14 10:45:00,3450.3662248958335,3450.3662248958335
63,2020-10-14 11:00:00,3450.9013047569442,3450.9006728153668
64,2020-10-14 11:15:00,3451.438374201389,3451.438895034573
65,2020-10-14 11:30:00,3452.0106172569444,3452.0108533682205
66,2020-10-14 11:45:00,3452.576568645833,3452.576632888369
67,2020-10-14 12:00:00,3453.1236936458326,3453.123089482228
68,2020-10-14 12:15:00,3453.6706383680557,3453.6710897574217
69,2020-10-14 12:30:00,3454.187430590278,3454.1876706420635
70,2020-10-14 12:45:00,3454.6596223611105,3454.659574305756
71,2020-10-14 13:00:00,3455.133515625,3455.134277770665
72,2020-10-14 13:15:00,3455.5880693749996,3455.586899236041
73,2020-10-14 13:30:00,3456.070751631945,3456.0712038774027
74,2020-10-14 13:45:00,3456.4984875347227,3456.498227572548
75,2020-10-14 14:00:00,3456.8686975347223,3456.869209683847
76,2020-10-14 14:15:00,3457.099218923611,3457.098625182078
77,2020-10-14 14:30:00,3457.200025729166,3457.2036576757573
78,2020-10-14 14:45:00,3457.2410439583336,3457.240418953194
79,2020-10-14 15:00:00,3457.291618229167,3457.2926792731105
80,2020-10-14 15:15:00,3457.270402326389,3457.272610144373
81,2020-10-14 15:30:00,3457.117694479167,3457.1168832132116
82,2020-10-14 15:45:00,3456.893219513889,3456.894544980561
83,2020-10-14 16:00:00,3456.6396425694443,3456.6425089967875
84,2020-10-15 09:15:00,3415.6760035069447,3415.6780174057762
85,2020-10-15 09:30:00,3414.571225729167,3414.5712257291666
86,2020-10-15 09:45:00,3413.4527326736115,3413.452732673611
87,2020-10-15 10:00:00,3412.394395868055,3412.394395868056
88,2020-10-15 10:15:00,3411.3604410069447,3411.360441006945
89,2020-10-15 10:30:00,3410.286263923611,3410.2862639236105
90,2020-10-15 10:45:00,3409.2191285069443,3409.217774340278
91,2020-10-15 11:00:00,3408.2459687847218,3408.2442326736104
92,2020-10-15 11:15:00,3407.291319479167,3407.2927170556713
93,2020-10-15 11:30:00,3406.309593784722,3406.309364615332
94,2020-10-15 11:45:00,3405.3512743402775,3405.3502205259742
95,2020-10-15 12:00:00,3404.4196111458336,3404.4190330207966
96,2020-10-15 12:15:00,3403.4952336111114,3403.495810004803
97,2020-10-15 12:30:00,3402.5516919444444,3402.552365564196
98,2020-10-15 12:45:00,3401.5927786805555,3401.5916504765332
99,2020-10-15 13:00:00,3400.7085874305553,3400.706399924395
100,2020-10-15 13:15:00,3399.8723199652773,3399.8726845513247
101,2020-10-15 13:30:00,3398.973035208334,3398.9755126303726
102,2020-10-15 13:45:00,3398.2775584375,3398.2770395652424
103,2020-10-15 14:00:00,3397.5696264583335,3397.5734563301085
104,2020-10-15 14:15:00,3396.8051052430556,3396.8064946739933
105,2020-10-15 14:30:00,3395.9469995833333,3395.946683735047
106,2020-10-15 14:45:00,3395.0324625000003,3395.0322984094405
107,2020-10-15 15:00:00,3394.1066239583333,3394.105830541435
108,2020-10-15 15:15:00,3393.2209566666666,3393.220540380728
109,2020-10-15 15:30:00,3392.369260902778,3392.370197526383
110,2020-10-15 15:45:00,3391.4923575694447,3391.490398254851
111,2020-10-15 16:00:00,3390.605154201389,3390.604912866907
112,2020-10-16 09:15:00,3348.000458263889,3348.0006683339193
113,2020-10-16 09:30:00,3347.4299200694445,3347.4299200694454
114,2020-10-16 09:45:00,3346.876742986111,3346.876742986111
115,2020-10-16 10:00:00,3346.323565902778,3346.3235659027773
116,2020-10-16 10:15:00,3345.8235381249997,3345.8235381250006
117,2020-10-16 10:30:00,3345.3383054861106,3345.336697840722
118,2020-10-16 10:45:00,3344.8695554861106,3344.8695554861106
119,2020-10-16 11:00:00,3344.4114756249996,3344.4126909048446
120,2020-10-16 11:15:00,3343.899697847222,3343.899697847221
121,2020-10-16 11:30:00,3343.3733888194442,3343.3741214658553
122,2020-10-16 11:45:00,3342.858927013889,3342.85880722237
123,2020-10-16 12:00:00,3342.353472152778,3342.3538367432816
124,2020-10-16 12:15:00,3341.841551736111,3341.8415065972254
125,2020-10-16 12:30:00,3341.337703958333,3341.3376027951213
126,2020-10-16 12:45:00,3340.893961701389,3340.8936736056694
127,2020-10-16 13:00:00,3340.476468645833,3340.475595374924
128,2020-10-16 13:15:00,3340.0762613888887,3340.0767856979455
129,2020-10-16 13:30:00,3339.6691706249994,3339.667622038223
130,2020-10-16 13:45:00,3339.255113402777,3339.2517722509965
131,2020-10-16 14:00:00,3338.899519340278,3338.8973608413044
132,2020-10-16 14:15:00,3338.665609722222,3338.667267691658
133,2020-10-16 14:30:00,3338.569720173611,3338.5677650359016
134,2020-10-16 14:45:00,3338.485774270833,3338.4864734174485
135,2020-10-16 15:00:00,3338.292867847222,3338.293008474645
136,2020-10-16 15:15:00,3338.0308144444443,3338.0301026584966
137,2020-10-16 15:30:00,3337.7431536805557,3337.7427735243014
138,2020-10-16 15:45:00,3337.5144683680555,3337.5126012222563
139,2020-10-16 16:00:00,3337.3801018402783,3337.375330154458
140,2020-10-19 09:15:00,3295.847625,3295.8476249999994
141,2020-10-19 09:30:00,3296.114395833333,3296.114395833333
142,2020-10-19 09:45:00,3296.391583333333,3296.3915833333335
143,2020-10-19 10:00:00,3296.672590277777,3296.673284718925
144,2020-10-19 10:15:00,3296.9445694444444,3296.9445694444435
145,2020-10-19 10:30:00,3297.216548611111,3297.216548611111
146,2020-10-19 10:45:00,3297.4607499999997,3297.4607499999997
147,2020-10-19 11:00:00,3297.6910625,3297.6910624999996
148,2020-10-19 11:15:00,3297.9314652777775,3297.9314652777775
149,2020-10-19 11:30:00,3298.126760416667,3298.1267222222264
150,2020-10-19 11:45:00,3298.319118055556,3298.318892360343
151,2020-10-19 12:00:00,3298.506173611111,3298.505673611111
152,2020-10-19 12:15:00,3298.671578402778,3298.672150694444
153,2020-10-19 12:30:00,3298.840668333333,3298.841003402293
154,2020-10-19 12:45:00,3298.9956648611114,3298.9966058341047
155,2020-10-19 13:00:00,3299.1184183333335,3299.1173766298925
156,2020-10-19 13:15:00,3299.2593200694446,3299.2590197222353
157,2020-10-19 13:30:00,3299.4248165972226,3299.425294029603
158,2020-10-19 13:45:00,3299.6933640624998,3299.6925775742593
159,2020-10-19 14:00:00,3299.879088611111,3299.884290413332
160,2020-10-19 14:15:00,3299.858269791667,3299.85628195028
