Date,Open,High,Low,Close,Volume
02/07/2020,"$4.11","$4.13","$3.77","$3.81","2,742,281"
02/06/2020,"$4.20","$4.30","$4.14","$4.14","1,510,303"
02/05/2020,"$4.15","$4.41","$4.14","$4.18","2,641,722"
02/04/2020,"$4.03","$4.25","$3.97","$4.07","3,563,061"
02/03/2020,"$3.88","$3.98","$3.85","$3.95","2,026,199"
01/31/2020,"$3.91","$3.94","$3.83","$3.84","2,891,764"
01/30/2020,"$4.10","$4.12","$3.88","$3.93","3,006,733"
01/29/2020,"$4.22","$4.32","$4.13","$4.13","1,552,557"
01/28/2020,"$4.30","$4.30","$4.18","$4.21","2,144,936"
01/27/2020,"$4.20","$4.35","$4.16","$4.28","2,122,804"
01/24/2020,"$4.64","$4.64","$4.25","$4.32","4,163,697"
01/23/2020,"$4.55","$4.64","$4.46","$4.62","1,880,214"
01/22/2020,"$4.55","$4.64","$4.46","$4.56","2,627,486"
01/21/2020,"$4.75","$4.75","$4.55","$4.59","3,532,137"
01/17/2020,"$4.58","$4.75","$4.51","$4.75","4,019,524"
01/16/2020,"$4.61","$4.71","$4.52","$4.62","4,287,065"
01/15/2020,"$4.66","$4.73","$4.55","$4.61","4,981,116"
01/14/2020,"$4.78","$5.00","$4.53","$4.71","12,562,570"
01/13/2020,"$5.43","$5.61","$5.33","$5.43","3,634,014"
01/10/2020,"$5.56","$5.60","$5.38","$5.43","2,781,412"
01/09/2020,"$5.82","$5.82","$5.48","$5.55","2,643,051"
01/08/2020,"$5.49","$5.85","$5.41","$5.72","5,629,445"
01/07/2020,"$5.77","$5.83","$5.44","$5.52","5,235,519"
01/06/2020,"$5.80","$5.91","$5.60","$5.85","3,394,777"
01/03/2020,"$6.21","$6.25","$5.84","$5.88","3,550,961"
01/02/2020,"$6.14","$6.47","$6.07","$6.31","4,430,750"
12/31/2019,"$6.08","$6.39","$5.99","$6.08","4,322,610"
12/30/2019,"$5.88","$6.25","$5.76","$6.13","4,482,348"
