Date,Open,High,Low,Close,Volume
02/08/2019,"$35.80","$36.23","$35.39","$36.00","4,973,284"
02/07/2019,"$36.46","$36.70","$35.94","$36.17","5,857,278"
02/06/2019,"$36.80","$37.09","$36.61","$36.76","5,802,821"
02/05/2019,"$36.81","$37.23","$36.70","$36.93","6,003,162"
02/04/2019,"$36.16","$36.81","$36.12","$36.78","9,089,334"
02/01/2019,"$35.77","$36.59","$35.77","$36.11","6,612,246"
01/31/2019,"$36.31","$36.55","$35.55","$35.77","7,706,585"
01/30/2019,"$36.43","$36.68","$36.17","$36.34","7,435,617"
01/29/2019,"$36.76","$37.08","$36.07","$36.29","8,744,324"
01/28/2019,"$34.53","$36.62","$34.50","$36.57","14,843,460"
01/25/2019,"$33.94","$35.50","$33.76","$34.98","15,933,790"
01/24/2019,"$34.26","$34.35","$32.83","$33.66","15,531,140"
01/23/2019,"$32.93","$33.10","$31.39","$31.65","14,317,930"
01/22/2019,"$33.76","$33.88","$32.45","$32.74","14,598,200"
01/18/2019,"$33.84","$34.04","$33.15","$33.97","5,817,716"
01/17/2019,"$32.75","$33.89","$32.63","$33.58","5,917,547"
01/16/2019,"$32.82","$33.67","$32.74","$32.84","9,141,554"
01/15/2019,"$31.88","$32.86","$31.63","$32.10","7,643,059"
01/14/2019,"$31.40","$31.93","$30.70","$31.71","5,878,522"
01/11/2019,"$31.80","$31.99","$31.10","$31.80","6,900,397"
01/10/2019,"$30.62","$32.21","$29.78","$32.04","19,726,311"
01/09/2019,"$32.42","$33.55","$32.30","$33.42","6,179,397"
01/08/2019,"$33.36","$33.65","$32.20","$32.42","7,107,729"
01/07/2019,"$31.99","$33.48","$31.24","$32.95","8,010,692"
01/04/2019,"$30.44","$32.09","$30.40","$32.04","9,369,633"
01/03/2019,"$31.69","$31.85","$28.81","$30.06","16,821,990"
01/02/2019,"$31.46","$32.65","$31.05","$32.48","5,229,460"
12/31/2018,"$32.09","$32.62","$31.68","$32.11","5,334,664"
12/28/2018,"$32.17","$32.60","$31.51","$31.83","6,379,455"
12/27/2018,"$31.71","$32.05","$30.87","$32.04","7,751,743"
12/26/2018,"$30.12","$32.33","$29.59","$32.29","8,621,261"
12/24/2018,"$30.51","$30.92","$29.67","$29.72","5,901,991"
12/21/2018,"$31.95","$32.65","$30.65","$30.78","11,800,630"
12/20/2018,"$32.34","$32.68","$30.95","$31.89","9,439,595"
12/19/2018,"$33.46","$33.98","$32.23","$32.42","8,120,520"
12/18/2018,"$32.47","$33.65","$32.47","$33.54","9,117,596"
12/17/2018,"$32.30","$32.86","$31.70","$32.04","7,638,105"
12/14/2018,"$32.27","$33.27","$32.08","$32.41","8,558,597"
12/13/2018,"$34.30","$34.69","$32.38","$32.46","10,279,700"
12/12/2018,"$34.55","$34.79","$34.09","$34.35","7,630,516"
12/11/2018,"$34.36","$34.81","$33.61","$34.10","8,055,448"
12/10/2018,"$33.67","$34.17","$32.61","$33.84","8,569,141"
12/07/2018,"$36.58","$36.60","$33.38","$33.57","14,380,120"
12/06/2018,"$36.00","$37.10","$35.79","$36.94","9,378,907"
12/04/2018,"$38.82","$39.21","$36.67","$36.69","12,315,080"
12/03/2018,"$40.57","$40.58","$39.14","$39.65","6,577,686"
11/30/2018,"$38.42","$40.20","$38.42","$40.16","10,015,650"
11/29/2018,"$38.80","$39.34","$38.40","$38.42","5,178,376"
11/28/2018,"$38.59","$38.97","$37.78","$38.94","6,673,828"
11/27/2018,"$38.21","$38.77","$37.81","$38.29","8,143,233"
11/26/2018,"$38.30","$38.62","$37.70","$38.10","9,203,089"
11/23/2018,"$36.66","$38.27","$36.66","$37.95","6,121,272"
11/21/2018,"$36.09","$37.51","$35.97","$36.31","8,701,536"
11/20/2018,"$35.05","$36.39","$34.86","$35.59","7,059,833"
11/19/2018,"$36.76","$37.08","$35.31","$35.82","9,420,974"
11/16/2018,"$37.40","$37.53","$36.50","$36.75","10,645,830"
11/15/2018,"$37.87","$38.16","$36.31","$37.82","8,296,755"
11/14/2018,"$38.00","$38.59","$37.45","$38.11","7,288,643"
11/13/2018,"$37.15","$38.42","$37.10","$37.78","9,694,207"
11/12/2018,"$36.31","$37.30","$35.78","$36.86","9,360,761"
11/09/2018,"$36.70","$37.26","$36.03","$36.22","6,794,692"
11/08/2018,"$36.77","$37.05","$35.97","$36.86","6,884,753"
11/07/2018,"$35.57","$37.39","$35.48","$36.97","10,903,960"
11/06/2018,"$35.60","$35.96","$34.84","$35.17","11,376,730"
11/05/2018,"$36.35","$36.52","$35.13","$35.72","11,305,330"
11/02/2018,"$36.59","$37.46","$35.64","$36.33","10,039,120"
11/01/2018,"$35.30","$36.47","$35.07","$36.37","9,643,154"
10/31/2018,"$35.16","$35.90","$34.81","$35.08","11,132,800"
10/30/2018,"$32.44","$34.78","$32.33","$34.66","13,067,630"
10/29/2018,"$33.14","$34.00","$31.95","$32.60","9,405,453"
10/26/2018,"$31.40","$33.01","$31.30","$32.46","11,438,630"
10/25/2018,"$31.19","$33.33","$31.12","$32.37","18,375,180"
10/24/2018,"$32.48","$32.75","$30.24","$30.34","15,348,180"
10/23/2018,"$31.53","$32.44","$30.60","$32.38","12,468,260"
10/22/2018,"$32.27","$32.52","$31.82","$32.16","7,572,134"
10/19/2018,"$32.09","$32.65","$31.81","$32.04","10,445,250"
10/18/2018,"$33.58","$33.76","$31.87","$32.06","12,778,280"
10/17/2018,"$34.45","$35.40","$33.53","$33.57","15,068,550"
10/16/2018,"$32.06","$33.44","$31.98","$33.28","11,339,160"
10/15/2018,"$31.00","$32.24","$30.82","$31.78","11,092,520"
10/12/2018,"$31.97","$32.13","$30.81","$30.91","12,905,190"
10/11/2018,"$32.30","$32.75","$30.75","$31.27","17,115,779"
10/10/2018,"$33.33","$33.40","$31.59","$31.61","20,539,020"
10/09/2018,"$36.30","$36.39","$33.41","$33.55","19,662,641"
10/08/2018,"$36.44","$36.85","$35.60","$35.90","7,879,323"
10/05/2018,"$37.93","$38.13","$36.21","$36.44","9,127,017"
10/04/2018,"$38.80","$39.01","$37.48","$37.92","5,916,661"
10/03/2018,"$38.70","$39.26","$38.42","$38.80","6,370,307"
10/02/2018,"$39.60","$39.60","$38.40","$38.50","7,625,022"
10/01/2018,"$41.41","$41.75","$39.60","$39.61","7,213,580"
09/28/2018,"$41.37","$41.96","$40.70","$41.33","5,030,569"
09/27/2018,"$41.23","$42.20","$41.15","$41.50","5,654,613"
09/26/2018,"$40.84","$41.48","$40.78","$41.04","4,623,712"
09/25/2018,"$42.00","$42.19","$40.27","$40.81","6,744,165"
09/24/2018,"$43.27","$43.30","$41.85","$41.98","7,105,075"
09/21/2018,"$42.04","$43.89","$41.99","$43.60","10,743,090"
09/20/2018,"$41.82","$42.17","$41.19","$41.89","6,865,565"
09/19/2018,"$40.79","$41.77","$40.70","$41.60","7,413,645"
09/18/2018,"$40.36","$40.86","$39.65","$40.79","5,548,449"
09/17/2018,"$39.70","$40.55","$39.70","$40.32","5,072,753"
09/14/2018,"$39.54","$39.97","$39.32","$39.74","2,905,068"
09/13/2018,"$39.49","$40.06","$39.42","$39.48","4,268,883"
09/12/2018,"$40.26","$40.40","$39.23","$39.26","6,103,809"
09/11/2018,"$39.33","$40.31","$39.07","$40.18","5,863,979"
09/10/2018,"$38.66","$39.49","$38.49","$39.43","3,901,039"
09/07/2018,"$38.31","$39.27","$38.15","$38.43","4,875,809"
09/06/2018,"$39.48","$39.69","$38.25","$38.48","6,917,509"
09/05/2018,"$40.81","$41.37","$38.88","$39.67","9,738,921"
09/04/2018,"$40.32","$41.34","$40.32","$40.77","7,123,152"
08/31/2018,"$40.25","$40.55","$40.18","$40.48","3,464,003"
08/30/2018,"$40.36","$40.84","$40.15","$40.40","4,330,210"
08/29/2018,"$40.66","$41.04","$40.25","$40.50","4,475,067"
08/28/2018,"$39.67","$40.70","$39.60","$40.69","7,373,456"
08/27/2018,"$39.02","$39.82","$39.02","$39.52","11,236,020"
08/24/2018,"$38.90","$39.15","$38.53","$38.82","3,561,731"
08/23/2018,"$39.19","$39.39","$38.72","$38.83","3,931,892"
08/22/2018,"$40.08","$40.19","$39.14","$39.19","5,593,343"
08/21/2018,"$39.98","$40.71","$39.84","$40.33","6,491,776"
08/20/2018,"$38.04","$40.10","$37.99","$39.99","9,629,081"
08/17/2018,"$37.99","$38.21","$37.72","$37.79","6,365,148"
08/16/2018,"$37.75","$38.46","$37.44","$38.16","5,876,946"
08/15/2018,"$36.96","$37.51","$36.42","$37.44","5,599,590"
08/14/2018,"$36.84","$37.56","$36.83","$37.09","3,873,119"
08/13/2018,"$37.29","$37.33","$36.68","$36.79","4,052,014"
08/10/2018,"$37.75","$37.79","$36.45","$37.26","7,481,823"
08/09/2018,"$38.55","$38.74","$37.89","$37.92","3,699,790"
08/08/2018,"$38.41","$38.86","$38.22","$38.38","3,895,478"
08/07/2018,"$38.65","$38.74","$38.19","$38.26","6,427,062"
08/06/2018,"$38.26","$38.49","$37.87","$38.41","3,340,207"
08/03/2018,"$38.06","$38.62","$38.05","$38.42","3,975,102"
08/02/2018,"$37.86","$38.12","$37.35","$37.93","5,920,730"
08/01/2018,"$39.38","$39.47","$37.69","$38.14","7,080,711"
07/31/2018,"$39.26","$39.87","$39.14","$39.54","5,761,144"
07/30/2018,"$39.88","$40.29","$38.93","$38.97","5,746,203"
07/27/2018,"$39.93","$40.86","$39.51","$39.69","8,445,143"
07/26/2018,"$37.85","$40.45","$37.60","$40.02","12,832,270"
07/25/2018,"$37.32","$38.34","$37.32","$38.19","7,338,068"
07/24/2018,"$38.19","$38.39","$37.04","$37.45","6,415,066"
07/23/2018,"$37.65","$38.22","$37.36","$38.04","4,697,307"
07/20/2018,"$37.96","$38.38","$37.81","$37.88","5,303,258"
07/19/2018,"$38.32","$38.38","$37.55","$38.13","4,985,234"
07/18/2018,"$38.00","$39.20","$38.00","$38.37","10,297,410"
07/17/2018,"$37.10","$38.05","$37.08","$37.38","6,274,419"
07/16/2018,"$37.26","$37.58","$36.93","$37.28","5,358,592"
07/13/2018,"$36.31","$37.26","$36.14","$37.12","10,841,910"
07/12/2018,"$36.40","$36.77","$35.64","$36.33","12,226,590"
07/11/2018,"$38.31","$38.34","$35.90","$35.96","24,894,180"
07/10/2018,"$39.38","$39.40","$38.50","$39.12","4,909,957"
07/09/2018,"$38.21","$39.41","$38.07","$39.31","4,530,423"
07/06/2018,"$38.19","$38.39","$37.76","$38.09","3,695,004"
07/05/2018,"$37.85","$38.18","$37.52","$37.99","6,181,460"
07/03/2018,"$37.64","$38.33","$36.76","$37.75","5,645,315"
07/02/2018,"$37.74","$38.40","$37.44","$38.36","3,363,452"
06/29/2018,"$38.25","$38.75","$37.82","$37.96","6,032,146"
06/28/2018,"$38.33","$38.53","$37.06","$38.20","7,909,702"
06/27/2018,"$39.09","$39.18","$38.25","$38.26","7,391,586"
06/26/2018,"$39.87","$39.96","$38.99","$39.09","6,037,359"
06/25/2018,"$41.09","$41.27","$39.29","$39.68","7,126,433"
06/22/2018,"$41.46","$42.41","$41.02","$41.35","9,115,147"
06/21/2018,"$42.03","$42.50","$41.37","$41.49","5,025,339"
06/20/2018,"$41.65","$42.34","$41.35","$42.03","4,930,567"
06/19/2018,"$42.03","$42.21","$41.09","$41.51","5,575,306"
06/18/2018,"$42.63","$42.68","$41.94","$42.44","5,372,079"
06/15/2018,"$43.06","$43.11","$42.32","$42.77","7,031,967"
06/14/2018,"$43.06","$43.49","$42.80","$43.08","4,019,334"
06/13/2018,"$43.39","$43.69","$42.83","$42.92","5,988,999"
06/12/2018,"$44.23","$44.30","$43.09","$43.41","5,204,620"
06/11/2018,"$43.25","$44.93","$43.25","$44.16","6,440,746"
06/08/2018,"$43.96","$43.97","$42.96","$43.11","6,273,041"
06/07/2018,"$44.28","$44.48","$43.45","$43.84","3,728,997"
06/06/2018,"$43.45","$44.23","$42.88","$44.19","6,502,470"
