Date,Open,High,Low,Close,Volume
02/08/2016,"$27.98","$28.83","$27.95","$28.62","6,393,391"
02/05/2016,"$28.28","$28.66","$27.77","$28.20","4,411,371"
02/04/2016,"$27.82","$28.53","$27.50","$28.36","4,899,496"
02/03/2016,"$28.29","$28.45","$27.51","$28.33","3,926,656"
02/02/2016,"$28.43","$28.64","$27.92","$28.31","4,024,348"
02/01/2016,"$27.84","$28.70","$27.66","$28.57","4,632,636"
01/29/2016,"$27.20","$28.14","$27.17","$27.93","5,835,077"
01/28/2016,"$27.34","$27.56","$26.90","$26.97","5,499,842"
01/27/2016,"$27.96","$28.43","$27.20","$27.27","5,797,458"
01/26/2016,"$27.14","$28.13","$27.02","$28.04","4,160,894"
01/25/2016,"$27.20","$27.43","$26.92","$27.07","5,654,339"
01/22/2016,"$27.68","$28.00","$27.07","$27.27","4,389,171"
01/21/2016,"$26.61","$27.69","$26.46","$27.28","6,318,779"
01/20/2016,"$25.70","$26.90","$25.42","$26.53","7,797,101"
01/19/2016,"$27.05","$27.10","$25.40","$25.87","10,110,530"
01/15/2016,"$25.35","$27.36","$25.31","$27.11","15,113,150"
01/14/2016,"$27.08","$27.24","$25.61","$26.43","20,096,891"
01/13/2016,"$30.15","$30.32","$29.09","$29.26","6,172,538"
01/12/2016,"$29.61","$30.33","$29.39","$30.13","4,754,874"
01/11/2016,"$29.08","$29.59","$28.97","$29.43","5,847,658"
01/08/2016,"$29.74","$29.78","$28.64","$28.95","7,062,723"
01/07/2016,"$29.56","$30.67","$29.38","$30.23","5,962,154"
01/06/2016,"$30.53","$30.73","$29.74","$29.95","8,342,623"
01/05/2016,"$30.72","$31.20","$30.49","$31.15","4,731,284"
01/04/2016,"$29.84","$31.08","$29.76","$30.65","6,343,699"
12/31/2015,"$30.43","$30.74","$30.25","$30.45","2,869,107"
12/30/2015,"$30.82","$31.13","$30.44","$30.46","2,162,948"
12/29/2015,"$30.75","$31.05","$30.59","$30.75","2,154,380"
12/28/2015,"$30.52","$30.71","$30.23","$30.53","2,025,139"
12/24/2015,"$30.53","$30.85","$30.46","$30.50","1,751,206"
12/23/2015,"$30.27","$30.87","$30.00","$30.60","4,454,811"
12/22/2015,"$29.36","$30.43","$29.30","$30.16","4,544,977"
12/21/2015,"$29.09","$29.45","$28.88","$29.15","3,343,562"
12/18/2015,"$29.67","$29.67","$28.90","$29.04","8,632,359"
12/17/2015,"$30.67","$30.78","$29.78","$29.80","4,969,586"
12/16/2015,"$30.11","$30.79","$30.04","$30.70","4,302,206"
12/15/2015,"$30.11","$30.42","$29.80","$30.04","4,007,009"
12/14/2015,"$29.98","$30.44","$29.54","$29.90","3,982,576"
12/11/2015,"$29.98","$30.30","$29.70","$29.79","4,482,765"
12/10/2015,"$30.56","$30.85","$30.23","$30.32","3,617,420"
12/09/2015,"$30.58","$31.46","$30.29","$30.52","4,258,269"
12/08/2015,"$30.48","$31.36","$30.35","$30.86","3,446,624"
12/07/2015,"$31.00","$31.15","$30.36","$30.91","4,475,939"
12/04/2015,"$31.47","$31.51","$30.89","$31.02","6,543,014"
12/03/2015,"$30.90","$31.49","$30.19","$31.30","9,807,535"
12/02/2015,"$31.45","$31.63","$30.72","$30.90","4,114,575"
12/01/2015,"$31.83","$31.89","$30.94","$31.37","5,506,892"
11/30/2015,"$31.73","$32.32","$31.50","$31.78","5,997,109"
11/27/2015,"$32.09","$32.16","$31.45","$31.48","2,834,361"
11/25/2015,"$31.53","$32.22","$31.44","$31.95","5,396,295"
11/24/2015,"$30.27","$31.82","$30.10","$31.53","6,758,054"
11/23/2015,"$30.46","$30.90","$30.35","$30.78","5,657,223"
11/20/2015,"$31.06","$31.10","$29.80","$30.51","9,011,546"
11/19/2015,"$29.21","$31.33","$28.65","$30.67","21,695,410"
11/18/2015,"$30.91","$31.74","$30.82","$31.33","9,614,822"
11/17/2015,"$31.44","$31.45","$30.31","$30.71","8,426,947"
11/16/2015,"$31.00","$32.03","$30.83","$31.63","10,741,970"
11/13/2015,"$33.17","$33.75","$31.54","$32.04","11,791,270"
11/12/2015,"$34.25","$34.53","$33.78","$33.99","5,624,686"
11/11/2015,"$34.68","$34.78","$34.21","$34.35","5,835,674"
11/10/2015,"$35.25","$35.55","$34.34","$34.66","4,301,126"
11/09/2015,"$35.34","$35.60","$35.01","$35.36","4,365,184"
11/06/2015,"$34.88","$35.68","$34.84","$35.41","3,209,376"
11/05/2015,"$34.63","$35.04","$34.20","$35.02","3,183,345"
11/04/2015,"$35.60","$35.66","$34.41","$34.48","4,800,285"
11/03/2015,"$35.43","$36.51","$35.36","$35.74","3,943,624"
11/02/2015,"$35.14","$35.54","$34.92","$35.43","2,299,010"
10/30/2015,"$34.60","$35.20","$34.30","$35.03","4,199,934"
10/29/2015,"$34.94","$35.09","$34.27","$34.46","2,851,030"
10/28/2015,"$34.62","$34.93","$34.35","$34.71","3,403,734"
10/27/2015,"$34.75","$34.95","$34.07","$34.51","2,690,054"
10/26/2015,"$35.18","$35.36","$34.70","$34.75","3,315,814"
10/23/2015,"$35.53","$35.78","$35.09","$35.20","3,807,345"
10/22/2015,"$34.95","$35.45","$34.81","$35.16","2,676,328"
10/21/2015,"$35.47","$35.56","$34.76","$34.84","2,063,368"
10/20/2015,"$35.04","$35.55","$35.03","$35.31","2,431,892"
10/19/2015,"$34.68","$35.17","$34.60","$35.07","2,629,578"
10/16/2015,"$35.51","$35.54","$34.49","$34.70","5,261,992"
10/15/2015,"$34.83","$35.49","$34.75","$35.48","3,432,476"
10/14/2015,"$36.80","$37.00","$34.74","$34.83","6,409,871"
10/13/2015,"$37.01","$37.39","$36.94","$37.04","2,934,371"
10/12/2015,"$37.01","$37.50","$36.89","$37.16","1,888,587"
10/09/2015,"$37.10","$37.16","$36.62","$36.95","2,890,497"
10/08/2015,"$37.21","$37.40","$36.60","$37.25","2,519,978"
10/07/2015,"$37.50","$37.60","$37.10","$37.29","3,317,076"
10/06/2015,"$37.72","$37.94","$36.99","$37.32","3,404,740"
10/05/2015,"$37.97","$38.12","$37.22","$37.68","4,609,294"
10/02/2015,"$36.69","$37.78","$36.54","$37.78","2,430,732"
10/01/2015,"$37.25","$37.28","$36.58","$37.16","3,612,392"
