ticker,N,MAPE,date_start,date_end,model_type,notes,n_epochs,sentiment_variance
UAL,91,5.40208863531183,2020-10-28 00:00:00,2021-02-18 00:00:00,prophet, ,,0.42904566571771896
UAL,95,12.234869076935999,2020-10-22 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,8.0,0.42904566571771896
UAL,95,11.55318568330863,2020-10-22 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,5.0,0.42904566571771896
AAL,118,2.8592234708662723,2020-09-21 00:00:00,2021-02-18 00:00:00,arima, ,,0.38708902689145597
AAL,118,4.004240141192973,2020-09-21 00:00:00,2021-02-18 00:00:00,prophet, ,,0.38708902689145597
AAL,122,4.679922134004987,2020-09-15 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,16.0,0.38708902689145597
AAL,122,3.5251460911241748,2020-09-15 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,12.0,0.38708902689145597
CBOE,88,12.998901820542875,2020-10-14 00:00:00,2021-02-17 00:00:00,arima, ,,0.22985110209633178
CBOE,88,15.826136370381946,2020-10-14 00:00:00,2021-02-17 00:00:00,prophet, ,,0.22985110209633178
CBOE,92,13.288666851250994,2020-10-08 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,7.0,0.22985110209633178
CBOE,92,13.678004188302118,2020-10-08 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,16.0,0.22985110209633178
XRX,112,8.176761573922562,2020-09-10 00:00:00,2021-02-17 00:00:00,arima, ,,0.07095997346324444
XRX,112,9.87796218777122,2020-09-10 00:00:00,2021-02-17 00:00:00,prophet, ,,0.07095997346324444
XRX,116,6.3567771626066385,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,8.0,0.07095997346324444
XRX,116,7.8666751941023545,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,9.0,0.07095997346324444
AAPL, , , , , ,error during data_prep,,
AMZN,120,3.8017623656826607,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.14780158351850653
AMZN,120,4.959664224657757,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.14780158351850653
AMZN,124,20.198460133438527,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,50.0,0.14780158351850653
AMZN,124,11.557164541877702,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,64.0,0.14780158351850653
TSLA,120,3.9109239681728303,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.3106711224399684
TSLA,120,4.669162670416149,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.3106711224399684
TSLA,124,46.746214890149666,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,15.0,0.3106711224399684
TSLA,124,53.94015480484612,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,19.0,0.3106711224399684
CSCO, , , , , ,error during data_prep,,
KO, , , , , ,error during data_prep,,
DIS, , , , , ,error during data_prep,,
XOM, , , , , ,error during data_prep,,
GS, , , , , ,error during data_prep,,
IBM, , , , , ,error during data_prep,,
INTC, , , , , ,error during data_prep,,
JNJ, , , , , ,error during data_prep,,
