targets,predictions,model_type
-0.056486674,0.040807657,lstm1
-0.102995425,-0.007108338,lstm1
-0.22175886,-0.031025033,lstm1
-0.30314916,-0.068990886,lstm1
-0.29318303,-0.14834681,lstm1
-0.15780932,-0.22381416,lstm1
-0.23504707,-0.27985233,lstm1
-0.17275856,-0.28581396,lstm1
-0.20182653,-0.24687469,lstm1
-0.30813226,-0.20964721,lstm1
-0.15947035,-0.23694602,lstm1
-0.32391202,-0.23028338,lstm1
-0.22175886,-0.26192534,lstm1
-0.19269088,-0.27887058,lstm1
-0.16694497,-0.25042957,lstm1
-0.11047005,-0.27008826,lstm1
-0.14286007,-0.2085723,lstm1
-0.31228483,-0.17937902,lstm1
-0.37125129,-0.17660898,lstm1
-0.29484403,-0.21083629,lstm1
-0.43603134,-0.2854043,lstm1
-0.43852288,-0.36901295,lstm1
-0.5664219,-0.3982289,lstm1
-0.44267544,-0.4307501,lstm1
-0.45098057,-0.50093406,lstm1
-0.48004854,-0.5177871,lstm1
-0.600473,-0.53064257,lstm1
-0.73335516,-0.50554705,lstm1
-0.7424908,-0.55947864,lstm1
-0.39201412,-0.6404407,lstm1
-0.1196057,-0.69419825,lstm1
-0.15199572,-0.64111245,lstm1
0.38783804,-0.4707991,lstm1
0.30478668,-0.19095823,lstm1
0.24665074,0.016501602,lstm1
0.24831177,0.15939777,lstm1
0.44182143,0.32361293,lstm1
0.7291791,0.29455402,lstm1
0.67851776,0.3458715,lstm1
0.6444667,0.46514463,lstm1
0.7599081,0.6121,lstm1
0.7773489,0.703205,lstm1
0.84462047,0.7000035,lstm1
0.7790099,0.7330731,lstm1
0.7449588,0.7856808,lstm1
0.79977274,0.79562104,lstm1
0.88697666,0.7977359,lstm1
0.90857,0.78393734,lstm1
1.0896219,0.80763954,lstm1
1.1735038,0.8727641,lstm1
1.2017412,0.94977486,lstm1
1.2507416,1.0256685,lstm1
1.2432669,1.1162589,lstm1
1.1768259,1.1582764,lstm1
1.2598772,1.17353,lstm1
1.2424364,1.1820894,lstm1
1.4508953,1.1749688,lstm1
1.4508953,1.1896555,lstm1
1.3221657,1.2454647,lstm1
1.4542173,1.2838527,lstm1
1.5505569,1.3353183,lstm1
1.4998956,1.3312093,lstm1
1.434285,1.3376021,lstm1
1.4675056,1.3875357,lstm1
1.2499111,1.3952926,lstm1
1.1145374,1.3536464,lstm1
1.2499111,1.2968642,lstm1
1.1909446,1.238927,lstm1
1.214199,1.1545147,lstm1
1.2092159,1.1398827,lstm1
1.1444358,1.1702943,lstm1
1.0771642,1.1519108,lstm1
1.1427748,1.1410588,lstm1
1.1261646,1.1155826,lstm1
1.1352918,1.0868461,lstm1
1.2349617,1.0810606,lstm1
1.28064,1.1073983,lstm1
1.4467344,1.1257502,lstm1
1.4384376,1.1762533,lstm1
1.2939283,1.2461164,lstm1
1.3794712,1.2902006,lstm1
1.3080469,1.3208474,lstm1
1.4010645,1.2903074,lstm1
1.4475732,1.2639481,lstm1
1.4484037,1.2902519,lstm1
1.6128454,1.2999693,lstm1
1.6610152,1.3513398,lstm1
1.864491,1.3940071,lstm1
1.8105077,1.454516,lstm1
1.7083545,1.5377003,lstm1
1.8478807,1.5827388,lstm1
1.9151523,1.6197393,lstm1
1.7581853,1.6061152,lstm1
1.7689819,1.6092924,lstm1
1.7374225,1.6402454,lstm1
1.7083545,1.6231471,lstm1
1.5704893,1.5775076,lstm1
1.0522488,1.5602826,lstm1
1.1377918,1.488439,lstm1
1.0480963,1.3719109,lstm1
1.0937746,1.2056707,lstm1
1.149419,1.0541468,lstm1
1.4467428,1.0699123,lstm1
1.5297941,1.0878667,lstm1
1.5804554,1.1748049,lstm1
1.5787944,1.2862927,lstm1
1.3886068,1.4029467,lstm1
1.2864536,1.4254482,lstm1
1.1726732,1.4027401,lstm1
1.1394527,1.3303369,lstm1
1.2249956,1.2255771,lstm1
1.2266567,1.1651586,lstm1
1.2225041,1.1355073,lstm1
1.3844543,1.1479477,lstm1
1.403556,1.1873418,lstm1
